Unnamed: 0,Name,Nachname Vorname,Nachname,Vorname,Geburtsdatum
1243,"Brinckmeier, Johann Peter Ludwig Eduard",Brinckmeier Johann Peter Ludwig Eduard,Brinckmeier,Johann Peter Ludwig Eduard,28. April 1811
1244,"Brinkmann, Georg",Brinkmann Georg,Brinkmann,Georg,20.Novbr. 1850
1245,"Brinkmann, Heinrich",Brinkmann Heinrich,Brinkmann,Heinrich,13.September 1808
1246,"Brinkmann, Max",Brinkmann Max,Brinkmann,Max,30.April 1864
1247,"Britzelmayr, Joseph",Britzelmayr Joseph,Britzelmayr,Joseph,.
1248,"Brix, Claus",Brix Claus,Brix,Claus,20. März 1821
1249,"Brixel, Franz",Brixel Franz,Brixel,Franz,Oktbr. 1855
1250,"Brochet, Joseph J",Brochet Joseph J,Brochet,Joseph J,.
1251,"Brociner, Marco",Brociner Marco,Brociner,Marco,März 1887
1252,"Brockdorff-Ahlefeldt, Georgine Beriha Luise Gräfin",Brockdorff-Ahlefeldt Georgine Beriha Luise,Brockdorff-Ahlefeldt,Georgine Beriha Luise,21. Juli 1863
1253,"Brockdorff, Sophie Gräfin von",Brockdorff Sophie,Brockdorff,Sophie,14. April 1848
1254,"Brockmann, Auguste",Brockmann Auguste,Brockmann,Auguste,22. Dezbr. 1839
1255,"Brod, Max",Brod Max,Brod,Max,27. Mai1884
1256,"Brodbeck, Adolf",Brodbeck Adolf,Brodbeck,Adolf,.
1257,"Broekel, Johanna Antonie",Broekel Johanna Antonie,Broekel,Johanna Antonie,21. Oktbr. 1890
1258,"Brombacher, Jakob Friedrich",Brombacher Jakob Friedrich,Brombacher,Jakob Friedrich,20. Jan. 1861
1259,"Brömel, Francis",Brömel Francis,Brömel,Francis,18. Aug.1904
1260,"Bronner, Benno",Bronner Benno,Bronner,Benno,.
1261,"Bronner, Ferdinand",Bronner Ferdinand,Bronner,Ferdinand,.
1262,"Bronner, Franz Joseph",Bronner Franz Joseph,Bronner,Franz Joseph,28. August 1860
1263,"Brook, A",Brook A,Brook,A,.
1264,"Brook, Marie",Brook Marie,Brook,Marie,Februar 1860
1265,"Brown, Pauline",Brown Pauline,Brown,Pauline,24. Dezember 1800
1266,"Bruch, Karl",Bruch Karl,Bruch,Karl,30. Mai 1834
1267,"Bruch, Karl August Maximilian",Bruch Karl August Maximilian,Bruch,Karl August Maximilian,16. August 1838
1268,"Bruch-Sinn, Karoline",Bruch-Sinn Karoline,Bruch-Sinn,Karoline,13. Jan. 1853
1269,"Bruchmüller, Ernst Wilhelm",Bruchmüller Ernst Wilhelm,Bruchmüller,Ernst Wilhelm,17. Juni 1872
1270,"Bruck, Felix Friedrich",Bruck Felix Friedrich,Bruck,Felix Friedrich,.Mai 1843
1271,"Bruck, Julius",Bruck Julius,Bruck,Julius,20. Juni 1899
1272,"Brücker, Friedrich Wilhelm",Brücker Friedrich Wilhelm,Brücker,Friedrich Wilhelm,28. Mai 1864
1273,"Bruckner, Anton",Bruckner Anton,Bruckner,Anton,20. Mai1868
1274,"Bruckner, Karl",Bruckner Karl,Bruckner,Karl,13. Oktbr.1848
1275,"Brucks, Maria",Brucks Maria,Brucks,Maria,24. Nov.1858
1276,"Bruger, Karl Heinrich",Bruger Karl Heinrich,Bruger,Karl Heinrich,7.Dezbr. 1800
1277,"Brügge, Walter",Brügge Walter,Brügge,Walter,.
1278,"Brugger, Hans",Brugger Hans,Brugger,Hans,1. Juli1860
1279,"Brugger, Marie",Brugger Marie,Brugger,Marie,23.März 1860
1280,"Brugsch-Pascha, Heinrich Karl",Brugsch-Pascha Heinrich Karl,Brugsch-Pascha,Heinrich Karl,18. Febr. 1827
1281,"Bruhin, Kaspar Aloys",Bruhin Kaspar Aloys,Bruhin,Kaspar Aloys,14. März 1824
1282,"Brühl, Gustav",Brühl Gustav,Brühl,Gustav,16. Februar 1903
1283,"Brühl, Heinrich Joseph",Brühl Heinrich Joseph,Brühl,Heinrich Joseph,12. Dezbr. 1880
1284,"Bruhn, Luise",Bruhn Luise,Bruhn,Luise,5. Jan.1866
1285,"Bruhnsen, Otto",Bruhnsen Otto,Bruhnsen,Otto,.
1286,"Brun-Barnow, Jda von",Brun-Barnow Jda,Brun-Barnow,Jda,.
1287,"Bruneck, O. von",Bruneck O.,Bruneck,O.,.
1288,"Brunier, Ludwig",Brunier Ludwig,Brunier,Ludwig,20. Oktbr.1825
1289,"Brüning, Albert",Brüning Albert,Brüning,Albert,14.Februar 1817
1290,"Brüning, Antonie",Brüning Antonie,Brüning,Antonie,.
1291,"Brunn, Adelbert",Brunn Adelbert,Brunn,Adelbert,.
1292,"Brunner, Armin",Brunner Armin,Brunner,Armin,1.Aug. 1864
