Original,Name Vorname,Name,Vorname,Titel,Sonstiges
"Mitzlaff, Eugenie von",Mitzlaff Eugenie,Mitzlaff,Eugenie,,von
"Mix, Doris",Mix Doris,Mix,Doris,,
"Mlinarska, Friederike v",Mlinarska Friederike,Mlinarska,Friederike,,v
"Möbius, Frau Hermine",Möbius Hermine,Möbius,Hermine,Frau,
"Mocvingus, H",Mocvingus H,Mocvingus,H,,
"Möder, Frl. Auguste",Möder Auguste,Möder,Auguste,Frl.,
Moderatus Diplomaticus,Moderatus Diplomaticus,Moderatus Diplomaticus,,,
"Moeller, Antonie",Moeller Antonie,Moeller,Antonie,,
"Mohnicke, Selma",Mohnicke Selma,Mohnicke,Selma,,
"Mohr, Frau Bertha",Mohr Bertha,Mohr,Bertha,Frau,
"Mohr, Klara",Mohr Klara,Mohr,Klara,,
"Mohr, Frl. Marie L. F",Mohr F L. Marie,Mohr,F L. Marie,Frl.,
"Moleschott, Sophie",Moleschott Sophie,Moleschott,Sophie,,
"Möller, A",Möller A,Möller,A,,
"Möller, A. v",Möller A.,Möller,A.,,v
"Möller, Agnes",Möller Agnes,Möller,Agnes,,
"Möller, Martha",Möller Martha,Möller,Martha,,
"Möller, Wendula Hedwig",Möller Wendula Hedwig,Möller,Wendula Hedwig,,
"Molochowetz, Helene v",Molochowetz Helene,Molochowetz,Helene,,v
"Molotka, Charlotte",Molotka Charlotte,Molotka,Charlotte,,
"Mölte, Cäcilie",Mölte Cäcilie,Mölte,Cäcilie,,
"Moltke, Freifrau Hedwig v",Moltke Hedwig,Moltke,Hedwig,Freifrau,v
"Moltke, Maria v",Moltke Maria,Moltke,Maria,,v
Monika,Monika,Monika,,,
"Monsterberg, Eugenie von",Monsterberg Eugenie,Monsterberg,Eugenie,,von
"Montag, Auguste",Montag Auguste,Montag,Auguste,,
"Montagni, Frida",Montagni Frida,Montagni,Frida,,
"Montagu, Marquise v",Montagu Marquise,Montagu,Marquise,,v
"Montbart, Frl. Helene v",Montbart Helene,Montbart,Helene,Frl.,v
"Montenglaut, Artemisia Henr. Marianne von",Montenglaut Artemisia Henr. Marianne,Montenglaut,Artemisia Henr. Marianne,,von
"Monter, Constanze",Monter Constanze,Monter,Constanze,,
"Montez, Lola",Montez Lola,Montez,Lola,,
"Montgomery, Karoline",Montgomery Karoline,Montgomery,Karoline,,
"Montgomery, Florence",Montgomery Florence,Montgomery,Florence,,
"Monti, M. de",Monti de M.,Monti,de M.,,
"Montolieu, Isabelle, Freiin v",Montolieu Freiin v,Montolieu,Freiin v,,
"Montua, Emma",Montua Emma,Montua,Emma,,
"Monutoli, Frau v",Monutoli,Monutoli,,Frau,v
"Moor, Anna von",Moor Anna,Moor,Anna,,von
Mora,Mora,Mora,,,
"Morawetz-Dierkes, Frau Leopoldine v",Morawetz-Dierkes Leopoldine,Morawetz-Dierkes,Leopoldine,Frau,v
"More, Hanna",More Hanna,More,Hanna,,
"Morgan, Frau Elisa, Dr. med",Morgan Dr. med,Morgan,Dr. med,Frau,
"Morgan, Frau Johanna",Morgan Johanna,Morgan,Johanna,Frau,
"Morgenstern, Frau Lina",Morgenstern Lina,Morgenstern,Lina,Frau,
"Morgenstern, Lina",Morgenstern Lina,Morgenstern,Lina,,
"Morgenstern, Frl. Marie",Morgenstern Marie,Morgenstern,Marie,Frl.,
"Morgenstern, Marie",Morgenstern Marie,Morgenstern,Marie,,
"Morgenstern, Olga",Morgenstern Olga,Morgenstern,Olga,,
"Morich, Alwine",Morich Alwine,Morich,Alwine,,
"Morich, Sophie",Morich Sophie,Morich,Sophie,,
"Morière, K. de la",Morière K. de la,Morière,K. de la,,
"Morris, Frl. Rosa",Morris Rosa,Morris,Rosa,Frl.,
"Morsch, Frl. Anna",Morsch Anna,Morsch,Anna,Frl.,
"Mosche, Antonie",Mosche Antonie,Mosche,Antonie,,
"Moscheles, Charlotte",Moscheles Charlotte,Moscheles,Charlotte,,
"Moscherosch, Eliza v",Moscherosch Eliza,Moscherosch,Eliza,,v
"Mose, Frl. Josepha",Mose Josepha,Mose,Josepha,Frl.,
"Mosen, Fr",Mosen Fr,Mosen,Fr,,
"Mosthaf, Klara",Mosthaf Klara,Mosthaf,Klara,,
"Motte-Fouqué, Karoline Auguste, Freifrau de la",Motte-Fouqué Karoline Auguste,Motte-Fouqué,Karoline Auguste,Freifrau,de la
"Mrazovič, Milena",Mrazovič Milena,Mrazovič,Milena,,
"Mucha-Eltz, Frl. Ida v",Mucha-Eltz Ida,Mucha-Eltz,Ida,Frl.,v
"Muche, Frau Klara",Muche Klara,Muche,Klara,Frau,
"Mudersbach, Julie",Mudersbach Julie,Mudersbach,Julie,,
"Muellenbach, Frau Ute",Muellenbach Ute,Muellenbach,Ute,Frau,
"Mühlbach, Elfriede v",Mühlbach Elfriede,Mühlbach,Elfriede,,v
"Mühlbach, Luise",Mühlbach Luise,Mühlbach,Luise,,
"Mühlbach, Luise",Mühlbach Luise,Mühlbach,Luise,,
"Mühlbach, Luise",Mühlbach Luise,Mühlbach,Luise,,
"Mühldorfer, Sephine",Mühldorfer Sephine,Mühldorfer,Sephine,,
"Mühle, Wilh. von der",Mühle Wilh. der,Mühle,Wilh. der,,von
"Mühlenberg, Mathilde von",Mühlenberg Mathilde,Mühlenberg,Mathilde,,von
"Mühlenfels, Elfriede von",Mühlenfels Elfriede,Mühlenfels,Elfriede,,von
"Mülinen, Frl. Helene von",Mülinen Helene,Mülinen,Helene,Frl.,von
"Müller, Betty",Müller Betty,Müller,Betty,,
"Müller, Clara",Müller Clara,Müller,Clara,,
"Müller, Dorothea",Müller Dorothea,Müller,Dorothea,,
"Müller, Frl. Elisabeth",Müller Elisabeth,Müller,Elisabeth,Frl.,
"Müller, Elise",Müller Elise,Müller,Elise,,
"Müller, Frl. Fanny",Müller Fanny,Müller,Fanny,Frl.,
"Müller-Herrneck, M",Müller-Herrneck M,Müller-Herrneck,M,,
"Müller, Frau Johanna",Müller Johanna,Müller,Johanna,Frau,
"Müller, Johanna",Müller Johanna,Müller,Johanna,,
"Müller, Karoline",Müller Karoline,Müller,Karoline,,
"Müller, Luise",Müller Luise,Müller,Luise,,
"Müller, Marie",Müller Marie,Müller,Marie,,
"Müller, Marischa",Müller Marischa,Müller,Marischa,,
"Müller, Frau Mathilde",Müller Mathilde,Müller,Mathilde,Frau,
"Müller, Pauline",Müller Pauline,Müller,Pauline,,
"Müller-Portius, Adelaide",Müller-Portius Adelaide,Müller-Portius,Adelaide,,
"Müller, Rosalie",Müller Rosalie,Müller,Rosalie,,
"Müller, Sophie",Müller Sophie,Müller,Sophie,,
"Müller, Frl. Susanne",Müller Susanne,Müller,Susanne,Frl.,
"Müller, Valeria von",Müller Valeria,Müller,Valeria,,von
"Müller, Wilhelmine",Müller Wilhelmine,Müller,Wilhelmine,,
"Mully, Edle von Oppenried, Marie u. A",Mully Marie u. A,Mully,Marie u. A,Edle von Oppenried,
"Münchershof, E. v",Münchershof E.,Münchershof,E.,,v
"Münchhausen, Marie Luise Eleonore Freiin von",Münchhausen Luise Marie Eleonore,Münchhausen,Luise Marie Eleonore,Freiin,von
"Mund, Frau Johanne",Mund Johanne,Mund,Johanne,Frau,
"Mundhenck, Isabella",Mundhenck Isabella,Mundhenck,Isabella,,
"Mundt, Klara",Mundt Klara,Mundt,Klara,,
"Münster-Meinhövel, Amalie Johanne Isabelle Charlotte, Gräfin von",Münster-Meinhövel Amalie Johanne Isabelle Charlotte,Münster-Meinhövel,Amalie Johanne Isabelle Charlotte,Gräfin,von
"Munz, Emilie",Munz Emilie,Munz,Emilie,,
"Münzer, Vally",Münzer Vally,Münzer,Vally,,
"Münzner, Johanna",Münzner Johanna,Münzner,Johanna,,
"Muralt, Lily von",Muralt Lily,Muralt,Lily,,von
"Murau, Frau Karoline",Murau Karoline,Murau,Karoline,Frau,
