Original,Name Vorname,Name,Vorname,Titel,Sonstiges
Rosa,Rosa,Rosa,,,
"Rosa, Tante",Rosa,,Rosa,,Tante
Rosamunda,Rosamunda,Rosamunda,,,
"Rosbach, Frl. Kath",Rosbach Kath,Rosbach,Kath,Frl.,
"Rose, Elise",Rose Elise,Rose,Elise,,
"Rosen, Palastdame D. v",Rosen D.,Rosen,D.,,Palastdame v.
"Rosen, Hildegard zur",Rosen Hildegard,Rosen,Hildegard,,zur
"Rosen, Kathinka, Freifrau von",Rosen Freifrau von,Rosen,Freifrau von,,
"Rosenfeld, Margaretha Johanna",Rosenfeld Margaretha Johanna,Rosenfeld,Margaretha Johanna,,
"Rosenfeld, Frau Dr. Ulrike",Rosenfeld Ulrike,Rosenfeld,Ulrike,Frau Dr.,
"Rosenhain, Franziska",Rosenhain Franziska,Rosenhain,Franziska,,
"Rosenmüller, Anna",Rosenmüller Anna,Rosenmüller,Anna,,
"Rosenthal, Alice",Rosenthal Alice,Rosenthal,Alice,,
"Rosenthal, Dorothea Eleonore von",Rosenthal Dorothea Eleonore,Rosenthal,Dorothea Eleonore,,von
"Roséri, M",Roséri M,Roséri,M,,
"Rosevalle, E",Rosevalle E,Rosevalle,E,,
"Roskowska, Emmy v",Roskowska Emmy,Roskowska,Emmy,,v
"Roskowska, Maria v",Roskowska Maria,Roskowska,Maria,,v
"Roskowska, Maria v",Roskowska Maria,Roskowska,Maria,,v
"Rösler, Maria",Rösler Maria,Rösler,Maria,,
"Rosmer, Ernst",Rosmer Ernst,Rosmer,Ernst,,
"Rosnack, Marie",Rosnack Marie,Rosnack,Marie,,
"Rossel, Emmy",Rossel Emmy,Rossel,Emmy,,
"Rossetti, Maria Franzeska",Rossetti Franzeska Maria,Rossetti,Franzeska Maria,,
"Rossi, Emmy",Rossi Emmy,Rossi,Emmy,,
"Roteg, C. v",Roteg C.,Roteg,C.,,v
"Roth, Albertine",Roth Albertine,Roth,Albertine,,
"Roth, Frau Clara",Roth Clara,Roth,Clara,Frau,
"Roth, Kunigunde Sophie",Roth Kunigunde Sophie,Roth,Kunigunde Sophie,,
"Roth, Elise",Roth Elise,Roth,Elise,,
"Roth, Frl. Louise",Roth Louise,Roth,Louise,Frl.,
"Rothberg, Fried, v",Rothberg v,Rothberg,v,,
"Rothenberger, Frl. Julie",Rothenberger Julie,Rothenberger,Julie,Frl.,
"Rothenburg, Adelheid Katharina Mathilde v",Rothenburg Katharina Adelheid Mathilde,Rothenburg,Katharina Adelheid Mathilde,,v
"Rothenburg, Adelheid v",Rothenburg Adelheid,Rothenburg,Adelheid,,v
"Rothenfels, Emmy von",Rothenfels Emmy,Rothenfels,Emmy,,von
"Rothenthal, Frau Baronin Melanie",Rothenthal Melanie,Rothenthal,Melanie,Frau Baronin,
"Rothpletz, Anna",Rothpletz Anna,Rothpletz,Anna,,
"Rothschild, Frau Baronin James von",Rothschild James,Rothschild,James,Frau Baronin,von
"Rothschild, Freifrau Lionel v",Rothschild Lionel,Rothschild,Lionel,Freifrau,v
"Rothwell, Bertha von",Rothwell Bertha,Rothwell,Bertha,,von
"Rotschütz, Th. v",Rotschütz Th.,Rotschütz,Th.,,v
"Rotschütz, Th. v",Rotschütz Th.,Rotschütz,Th.,,v
"Rott, Ida Hedwig",Rott Ida Hedwig,Rott,Ida Hedwig,,
"Rötter, Frl. Henriette",Rötter Henriette,Rötter,Henriette,Frl.,
"Rubinstein, Dr. phil. Susanna",Rubinstein Susanna phil.,Rubinstein,Susanna phil.,Dr.,
"Rubinstein, Susanne",Rubinstein Susanne,Rubinstein,Susanne,,
"Rublack, Charlotte",Rublack Charlotte,Rublack,Charlotte,,
"Rübsamen, Frl. Rosa",Rübsamen Rosa,Rübsamen,Rosa,Frl.,
"Ruchmann, Ottilie",Ruchmann Ottilie,Ruchmann,Ottilie,,
"Rücker, M. v",Rücker M.,Rücker,M.,,v
"Rudel, Johanne Sophie",Rudel Sophie Johanne,Rudel,Sophie Johanne,,
"Rudersdorff, Mathilde",Rudersdorff Mathilde,Rudersdorff,Mathilde,,
"Rüdesheim, Lothar von",Rüdesheim Lothar,Rüdesheim,Lothar,,von
"Rudloff, Bertha von",Rudloff Bertha,Rudloff,Bertha,,von
"Rudolfi, E",Rudolfi E,Rudolfi,E,,
"Rudolfi, Theodore",Rudolfi Theodore,Rudolfi,Theodore,,
"Rudolphi, Karoline Christiane Luise",Rudolphi Christiane Karoline Luise,Rudolphi,Christiane Karoline Luise,,
"Rudorff, E",Rudorff E,Rudorff,E,,
"Rudorff, E",Rudorff E,Rudorff,E,,
"Rüdiger, Frau Minna",Rüdiger Minna,Rüdiger,Minna,Frau,
"Rüdiger, Minna",Rüdiger Minna,Rüdiger,Minna,,
"Rüdt, Frau Sophie v",Rüdt Sophie,Rüdt,Sophie,Frau,v
"Ruete, Frau E",Ruete E,Ruete,E,Frau,
"Ruetschi, Marie Henriette",Ruetschi Marie Henriette,Ruetschi,Marie Henriette,,
"Ruge, Frau Clara Ottilie",Ruge Clara Ottilie,Ruge,Clara Ottilie,Frau,
"Ruhe, Frau Johanna",Ruhe Johanna,Ruhe,Johanna,Frau,
"Ruhkopf, Julie",Ruhkopf Julie,Ruhkopf,Julie,,
"Ruhland, Marie",Ruhland Marie,Ruhland,Marie,,
"Rührig, Wilhelmine",Rührig Wilhelmine,Rührig,Wilhelmine,,
"Rukh, Lalla",Rukh Lalla,Rukh,Lalla,,
"Rumbauer, Frl. Martha",Rumbauer Martha,Rumbauer,Martha,Frl.,
"Rumbauer, Martha",Rumbauer Martha,Rumbauer,Martha,,
"Rümelin, A. v",Rümelin A.,Rümelin,A.,,v
"Rümelin-Oesterlen, Frau Natalie",Rümelin-Oesterlen Natalie,Rümelin-Oesterlen,Natalie,Frau,
"Rümelin-Oesterlen, Natalie",Rümelin-Oesterlen Natalie,Rümelin-Oesterlen,Natalie,,
"Rümly, Peter",Rümly Peter,Rümly,Peter,,
"Rumpff-Burmeister, Anna",Rumpff-Burmeister Anna,Rumpff-Burmeister,Anna,,
"Rundell, Helene",Rundell Helene,Rundell,Helene,,
"Rupp, Frl. Marie Theresia",Rupp Theresia Marie,Rupp,Theresia Marie,Frl.,
"Rupp, Victoria",Rupp Victoria,Rupp,Victoria,,
"Rüppel, Helene",Rüppel Helene,Rüppel,Helene,,
"Rüst, Edela",Rüst Edela,Rüst,Edela,,
"Rutenberg, Agathe",Rutenberg Agathe,Rutenberg,Agathe,,
"Rutenberg, E",Rutenberg E,Rutenberg,E,,
"Rutenberg, E",Rutenberg E,Rutenberg,E,,
"Ruth, M. von",Ruth M.,Ruth,M.,,von
"Ruth, Nahida",Ruth Nahida,Ruth,Nahida,,
"Rüts, Helene von",Rüts Helene,Rüts,Helene,,von
"Rüxleben, Baronin Vally v",Rüxleben Vally,Rüxleben,Vally,Baronin,v
"Ružička-Ostoič, Camilla",Ružička-Ostoič Camilla,Ružička-Ostoič,Camilla,,
"Ryff, Frau Sekretärin von",Ryff,Ryff,,Frau Sekretärin,von
"Rzach, Frau Hedwig",Rzach Hedwig,Rzach,Hedwig,Frau,
"S.......g, Amalie",S.......g Amalie,S.......g,Amalie,,
"Saalbach, Henriette",Saalbach Henriette,Saalbach,Henriette,,
"Saar, K",Saar K,Saar,K,,
"Saar, S",Saar S,Saar,S,,
"Sacher-Masoch, Frau Aurora v",Sacher-Masoch Aurora,Sacher-Masoch,Aurora,Frau,v
"Sacher-Masoch, Frau Hulda Edle v",Sacher-Masoch Edle Hulda,Sacher-Masoch,Edle Hulda,Frau,v
"Sachs, Frau Sophie",Sachs Sophie,Sachs,Sophie,Frau,
"Sachsen-Altenburg, Agnes Herzogin von",Sachsen-Altenburg Agnes,Sachsen-Altenburg,Agnes,Herzogin,von
"Sachsen, Magdalena Sibylla von",Sachsen Sibylla Magdalena,Sachsen,Sibylla Magdalena,,von
"Sachsen, Marie Amalie Fried. Aug. v",Sachsen Aug. Fried. Amalie Marie,Sachsen,Aug. Fried. Amalie Marie,,v
"Sachsen-Weimar-Eisenach, Anna Amalie Herzogin von",Sachsen-Weimar-Eisenach Amalie Anna,Sachsen-Weimar-Eisenach,Amalie Anna,Herzogin,von
"Sagar, Maria Anna",Sagar Anna Maria,Sagar,Anna Maria,,
"Sailer, F",Sailer F,Sailer,F,,
"Sailler, Auguste",Sailler Auguste,Sailler,Auguste,,
"Saint-George, Frau Amalie v",Saint-George Amalie,Saint-George,Amalie,Frau,v
"Saint-Hilaire, Josephine von",Saint-Hilaire Josephine,Saint-Hilaire,Josephine,,von
"Saint-Roche, M. v",Saint-Roche M.,Saint-Roche,M.,,v
"Sainte-Foi, Charlotte",Sainte-Foi Charlotte,Sainte-Foi,Charlotte,,
"Sainte-Marie, Christine",Sainte-Marie Christine,Sainte-Marie,Christine,,
"Salaman, Edith",Salaman Edith,Salaman,Edith,,
"Salberg, Justine",Salberg Justine,Salberg,Justine,,
"Salberg, Frau Maria und Frau Elisabeth Glas",Salberg Glas Maria Elisabeth und,Salberg,Glas Maria Elisabeth und,Frau,
"Salburg, E",Salburg E,Salburg,E,,
"Salburg-Falkenstein, Gräfin Edith",Salburg-Falkenstein Edith,Salburg-Falkenstein,Edith,Gräfin,
"Saldern, Thusnelda v",Saldern Thusnelda,Saldern,Thusnelda,,v
"Salgari, Emilie",Salgari Emilie,Salgari,Emilie,,
"Salingför, R",Salingför R,Salingför,R,,
"Salis-Marschlins, Frl. Dr. phil. Meta v",Salis-Marschlins Meta,Salis-Marschlins,Meta,Frl. Dr. phil,v
"Salis-Soglio, Freifrau Meta v",Salis-Soglio Meta,Salis-Soglio,Meta,Freifrau,v
"Salk, B. v",Salk B.,Salk,B.,,v
"Salkowsky, E",Salkowsky E,Salkowsky,E,,
"Salma, Bernhard von",Salma Bernhard,Salma,Bernhard,,von
"Salm-Horstmar, Elise Prinzessin zu",Salm-Horstmar Elise,Salm-Horstmar,Elise,Prinzessin,zu
"Salm-Reiferscheid, Antonie Marie Fürstin v",Salm-Reiferscheid Antonie Marie,Salm-Reiferscheid,Antonie Marie,Fürstin,v
"Salm-Reiferscheid-Dyck, Konstanze Marie Fürstin v",Salm-Reiferscheid-Dyck Konstanze Marie,Salm-Reiferscheid-Dyck,Konstanze Marie,Fürstin,v
"Salm-Salm, Prinzessin Agnes zu",Salm-Salm Agnes,Salm-Salm,Agnes,Prinzessin,zu
"Salmuth, Dina",Salmuth Dina,Salmuth,Dina,,
"Salomé, Lou",Salomé Lou,Salomé,Lou,,
"Salomon, Frau Antonie",Salomon Antonie,Salomon,Antonie,Frau,
"Salzbrunn, Alice",Salzbrunn Alice,Salzbrunn,Alice,,
"Salzbrunn, Alice",Salzbrunn Alice,Salzbrunn,Alice,,
"Salzmann, Frl. Marianne",Salzmann Marianne,Salzmann,Marianne,Frl.,
"Samosch, Frl. Margarete",Samosch Margarete,Samosch,Margarete,Frl.,
"Sampel, Wilhelmine",Sampel Wilhelmine,Sampel,Wilhelmine,,
"Sanden, Alma von",Sanden Alma,Sanden,Alma,,von
"Sander, Henriette",Sander Henriette,Sander,Henriette,,
"Sander, Frau Dr. Pauline",Sander Pauline,Sander,Pauline,Frau Dr.,
"Sandez, A. v",Sandez A.,Sandez,A.,,v
"Sandhage, Frau Josefa",Sandhage Josefa,Sandhage,Josefa,Frau,
"Sandvoss, Rosalie",Sandvoss Rosalie,Sandvoss,Rosalie,,
"Sangalli, Elisabeth",Sangalli Elisabeth,Sangalli,Elisabeth,,
Sanndorf,Sanndorf,Sanndorf,,,
"Saphir, Marie",Saphir Marie,Saphir,Marie,,
"Sapper, Frau Agnes",Sapper Agnes,Sapper,Agnes,Frau,
"Sapper, Agnes",Sapper Agnes,Sapper,Agnes,,
Sappho Liepholdt,Sappho Liepholdt,Sappho Liepholdt,,,
"Sartorius, Benvenuto",Sartorius Benvenuto,Sartorius,Benvenuto,,
"Sartorius, S",Sartorius S,Sartorius,S,,
Sascha Elfa,Sascha Elfa,Sascha Elfa,,,
"Satori, Johanna",Satori Johanna,Satori,Johanna,,
"Sauer, Frau Hedda",Sauer Hedda,Sauer,Hedda,Frau,
"Sauter, Cornelie",Sauter Cornelie,Sauter,Cornelie,,
"Schabelsky, Frl. Elsa von",Schabelsky Elsa,Schabelsky,Elsa,Frl.,von
"Schäbler, Pauline",Schäbler Pauline,Schäbler,Pauline,,
"Schachne-Schott, Clara",Schachne-Schott Clara,Schachne-Schott,Clara,,
"Schack, Frau Gertrud Guillaume",Schack Gertrud Guillaume,Schack,Gertrud Guillaume,Frau,
Schack v. Igar,Schack v. Igar,Schack v. Igar,,,
"Schaefer, Frau Anny",Schaefer Anny,Schaefer,Anny,Frau,
"Schaeffer, Frau Anna v",Schaeffer Anna,Schaeffer,Anna,Frau,v
"Schaeppi, Sophie",Schaeppi Sophie,Schaeppi,Sophie,,
"Schäfer, Antonia",Schäfer Antonia,Schäfer,Antonia,,
"Schäfer, Louise",Schäfer Louise,Schäfer,Louise,,
"Schäfer, Martha",Schäfer Martha,Schäfer,Martha,,
"Schaffer, Anna",Schaffer Anna,Schaffer,Anna,,
"Schaffer, H",Schaffer H,Schaffer,H,,
"Schäffer, Johanna",Schäffer Johanna,Schäffer,Johanna,,
"Schaffgotsch, Maria Gräfin",Schaffgotsch Maria,Schaffgotsch,Maria,Gräfin,
"Schaitza, Klara",Schaitza Klara,Schaitza,Klara,,
"Schäling, Marie",Schäling Marie,Schäling,Marie,,
Schalit-Meisels Agathe,Schalit-Meisels Agathe,Schalit-Meisels Agathe,,,
"Schallenfeld, Schulvorsteherin Agnes und Rosalie Schallenfeld",Schallenfeld Rosalie Schallenfeld Schulvorsteherin und Agnes,Schallenfeld,Rosalie Schallenfeld Schulvorsteherin und Agnes,,
"Schallenfeld, weil. Sem.-Leiterin Rosalie und weil. Töchterschulvorsteherin Agnes Schallenfeld",Schallenfeld Sem.-Leiterin Schallenfeld Rosalie Töchterschulvorsteherin weil. und Agnes,Schallenfeld,Sem.-Leiterin Schallenfeld Rosalie Töchterschulvorsteherin weil. und Agnes,,
"Schaller, A",Schaller A,Schaller,A,,
"Schandow, H. v",Schandow H.,Schandow,H.,,v
Schandri Marie,Schandri Marie,Schandri Marie,,,
"Schanz, Frida",Schanz Frida,Schanz,Frida,,
"Schanz, Frida",Schanz Frida,Schanz,Frida,,
"Schanz, Frida",Schanz Frida,Schanz,Frida,,
"Schanz, Frau Pauline",Schanz Pauline,Schanz,Pauline,Frau,
"Schanz, Pauline",Schanz Pauline,Schanz,Pauline,,
"Schardius, Marie",Schardius Marie,Schardius,Marie,,
"Schardt, Fried. Sophie Eleonore v",Schardt Fried. Sophie Eleonore,Schardt,Fried. Sophie Eleonore,,v
"Scharfenort, Hedwig",Scharfenort Hedwig,Scharfenort,Hedwig,,
"Scharm, Gabriele",Scharm Gabriele,Scharm,Gabriele,,
"Schätti, Frl. Hedwig",Schätti Hedwig,Schätti,Hedwig,Frl.,
"Schätzl, Emilie",Schätzl Emilie,Schätzl,Emilie,,
"Schauberg, Anna",Schauberg Anna,Schauberg,Anna,,
"Schauenforst, Irma v",Schauenforst Irma,Schauenforst,Irma,,v
"Schauensee, Frau Luise Meyer von",Schauensee Meyer Luise,Schauensee,Meyer Luise,Frau,von
"Schaumburg, Marie Jeannette v",Schaumburg Jeannette Marie,Schaumburg,Jeannette Marie,,v
"Schaupp-Horn, H",Schaupp-Horn H,Schaupp-Horn,H,,
"Schebest, Agnes",Schebest Agnes,Schebest,Agnes,,
"Scheel, Frau Emilie",Scheel Emilie,Scheel,Emilie,Frau,
"Scheel, Marie v",Scheel Marie,Scheel,Marie,,v
"Schefer, Frau Therese",Schefer Therese,Schefer,Therese,Frau,
"Schefer, Therese",Schefer Therese,Schefer,Therese,,
"Scheffel, Josefine",Scheffel Josefine,Scheffel,Josefine,,
"Scheffel, Reinhold",Scheffel Reinhold,Scheffel,Reinhold,,
"Schefflerin, Priorin Walpurgis",Schefflerin Priorin Walpurgis,Schefflerin,Priorin Walpurgis,,
"Scheibe, Frl. Auguste",Scheibe Auguste,Scheibe,Auguste,Frl.,
"Scheible, Josephine",Scheible Josephine,Scheible,Josephine,,
"Scheibler, Sophie Wilh",Scheibler Sophie Wilh,Scheibler,Sophie Wilh,,
"Scheibner, Luise",Scheibner Luise,Scheibner,Luise,,
"Scheidlein-Wenrich, Caroline, Edle von",Scheidlein-Wenrich Edle von,Scheidlein-Wenrich,Edle von,,
"Scheiger, Katharina, Edle v",Scheiger Edle v,Scheiger,Edle v,,
"Scheliha, Doris Maria v",Scheliha Doris Maria,Scheliha,Doris Maria,,v
"Schellander, Irene Edle von",Schellander Irene Edle,Schellander,Irene Edle,,von
"Schellbach, Anna",Schellbach Anna,Schellbach,Anna,,
"Schellbach, Emma",Schellbach Emma,Schellbach,Emma,,
"Schellbach, Leo",Schellbach Leo,Schellbach,Leo,,
"Schellestak, Wilhelmine",Schellestak Wilhelmine,Schellestak,Wilhelmine,,
"Schelling, Karoline",Schelling Karoline,Schelling,Karoline,,
"Schellmann, E",Schellmann E,Schellmann,E,,
"Schenck, Luise",Schenck Luise,Schenck,Luise,,
"Schenck, Ottilie",Schenck Ottilie,Schenck,Ottilie,,
"Schendler, Helene u. S. A. Mahlmann",Schendler A. Mahlmann u. S. Helene,Schendler,A. Mahlmann u. S. Helene,,
"Schenk, Frau Friederike Marie Charlotte v",Schenk Friederike Marie Charlotte,Schenk,Friederike Marie Charlotte,Frau,v
"Schenk, Luise",Schenk Luise,Schenk,Luise,,
"Schenk, Frau Marie M",Schenk Marie M,Schenk,Marie M,Frau,
"Schenker-Amlehn, Lina",Schenker-Amlehn Lina,Schenker-Amlehn,Lina,,
"Scheppler, Luise",Scheppler Luise,Scheppler,Luise,,
"Scherer, Sophie v",Scherer Sophie,Scherer,Sophie,,v
"Scherffen, Marie",Scherffen Marie,Scherffen,Marie,,
"Schering, Frl. Elsbeth",Schering Elsbeth,Schering,Elsbeth,Frl.,
"Scherr, Frau",Scherr,Scherr,,Frau,
"Schettler, Jenny",Schettler Jenny,Schettler,Jenny,,
"Schickh, Charlotte, Edle v",Schickh Edle v,Schickh,Edle v,,
"Schiebel, Hermine",Schiebel Hermine,Schiebel,Hermine,,
"Schiff, E",Schiff E,Schiff,E,,
"Schiff, Pauline",Schiff Pauline,Schiff,Pauline,,
"Schiffer, Frl. Therese",Schiffer Therese,Schiffer,Therese,Frl.,
"Schiller, Charlotte v",Schiller Charlotte,Schiller,Charlotte,,v
"Schilling, Frl. Anna",Schilling Anna,Schilling,Anna,Frl.,
"Schilling, Frl. Elise",Schilling Elise,Schilling,Elise,Frl.,
"Schimpff, Anna, oder Schimpff-Jahn",Schimpff Anna,Schimpff,Anna,,oder Schimpff-Jahn
"Schinnerer, Frau Louise",Schinnerer Louise,Schinnerer,Louise,Frau,
"Schippel, Elisabeth",Schippel Elisabeth,Schippel,Elisabeth,,
"Schira, Eli",Schira Eli,Schira,Eli,,
"Schirmacher, Frl. Käthe, Dr. phil",Schirmacher Dr. phil,Schirmacher,Dr. phil,Frl.,
"Schirmer, Anna",Schirmer Anna,Schirmer,Anna,,
"Schirndinger v. Schirnding, Carola, Freiin v",Schirndinger v. Schirnding Carola,Schirndinger v. Schirnding,Carola,Freiin,v
"Schirndinger, Carola",Schirndinger Carola,Schirndinger,Carola,,
"Schkopp, Adele v",Schkopp Adele,Schkopp,Adele,,v
"Schlägel, Maria von",Schlägel Maria,Schlägel,Maria,,von
"Schlatter, Anna",Schlatter Anna,Schlatter,Anna,,
"Schlatter, Rosa",Schlatter Rosa,Schlatter,Rosa,,
"Schlatter-Schlatter, Frau Dora",Schlatter-Schlatter Dora,Schlatter-Schlatter,Dora,Frau,
"Schlauch von Linden, Frl. Alexandrine",Schlauch von Linden Alexandrine,Schlauch von Linden,Alexandrine,Frl.,
"Schlegel, Anna Natalie Emilie",Schlegel Anna Natalie Emilie,Schlegel,Anna Natalie Emilie,,
"Schlegel, Caroline",Schlegel Caroline,Schlegel,Caroline,,
"Schlegel, Caroline",Schlegel Caroline,Schlegel,Caroline,,
"Schlegel, Christiane",Schlegel Christiane,Schlegel,Christiane,,
"Schlegel, Christ. Karoline",Schlegel Christ. Karoline,Schlegel,Christ. Karoline,,
"Schlegel, Dorothea",Schlegel Dorothea,Schlegel,Dorothea,,
"Schlegell, Rosa von",Schlegell Rosa,Schlegell,Rosa,,von
"Schleger, Meta",Schleger Meta,Schleger,Meta,,
"Schlehuber, Anna",Schlehuber Anna,Schlehuber,Anna,,
"Schleinitz, Freiin Alexandra v",Schleinitz Alexandra,Schleinitz,Alexandra,Freiin,v
"Schlesinger, Frl. Marie",Schlesinger Marie,Schlesinger,Marie,Frl.,
"Schlesinger, Frau Martha",Schlesinger Martha,Schlesinger,Martha,Frau,
"Schlesinger, Meta",Schlesinger Meta,Schlesinger,Meta,,
"Schlesinger, Frau Regina",Schlesinger Regina,Schlesinger,Regina,Frau,
"Schlesinger-Steiner, Frau Olga",Schlesinger-Steiner Olga,Schlesinger-Steiner,Olga,Frau,
"Schlesinger-Stephani, Marie",Schlesinger-Stephani Marie,Schlesinger-Stephani,Marie,,
"Schlichter, Frl. Marg",Schlichter Marg,Schlichter,Marg,Frl.,
"Schlichtkrull, Aline von",Schlichtkrull Aline,Schlichtkrull,Aline,,von
"Schlichtkrull, Ahne von",Schlichtkrull Ahne,Schlichtkrull,Ahne,,von
"Schlick, Gräfin Elise",Schlick Elise,Schlick,Elise,Gräfin,
"Schlieben, Wilh. Louise Elis. v",Schlieben Wilh. Elis. Louise,Schlieben,Wilh. Elis. Louise,,v
"Schliemann, Frau Dr. Sophie",Schliemann Sophie,Schliemann,Sophie,Frau Dr.,
"Schlingmann, Frau Agnes",Schlingmann Agnes,Schlingmann,Agnes,Frau,
"Schlippenbach, Freifrau Gabriele von",Schlippenbach Gabriele,Schlippenbach,Gabriele,Freifrau,von
"Schlote, Frl. Helene",Schlote Helene,Schlote,Helene,Frl.,
"Schlözer, Dorothea von",Schlözer Dorothea,Schlözer,Dorothea,,von
"Schlumpf, Frau Marie",Schlumpf Marie,Schlumpf,Marie,Frau,
"Schmalenbach, Marie",Schmalenbach Marie,Schmalenbach,Marie,,
"Schmeckebier, Frl. Hedwig",Schmeckebier Hedwig,Schmeckebier,Hedwig,Frl.,
"Schmid, Agathe",Schmid Agathe,Schmid,Agathe,,
Schmid Caroline,Schmid Caroline,Schmid Caroline,,,
"Schmid, Charlotte",Schmid Charlotte,Schmid,Charlotte,,
"Schmid, Christofine",Schmid Christofine,Schmid,Christofine,,
"Schmid, Cordula",Schmid Cordula,Schmid,Cordula,,
"Schmid, Hedda von",Schmid Hedda,Schmid,Hedda,,von
"Schmidt, Amalie",Schmidt Amalie,Schmidt,Amalie,,
"Schmidt, Frl. Amélie Charl",Schmidt Amélie Charl,Schmidt,Amélie Charl,Frl.,
"Schmidt, Frl. Auguste",Schmidt Auguste,Schmidt,Auguste,Frl.,
"Schmidt, Caroline",Schmidt Caroline,Schmidt,Caroline,,
"Schmidt-Cartlow, Frl. Martha",Schmidt-Cartlow Martha,Schmidt-Cartlow,Martha,Frl.,
"Schmidt, Christiane",Schmidt Christiane,Schmidt,Christiane,,
"Schmidt, Frl. E",Schmidt E,Schmidt,E,Frl.,
"Schmidt, Frau Elisabeth",Schmidt Elisabeth,Schmidt,Elisabeth,Frau,
"Schmidt, Frl. Elise",Schmidt Elise,Schmidt,Elise,Frl.,
"Schmidt, Elsa",Schmidt Elsa,Schmidt,Elsa,,
"Schmidt von Ekensteen, Frau Marie",Schmidt von Ekensteen Marie,Schmidt von Ekensteen,Marie,Frau,
"Schmidt, Frau H",Schmidt H,Schmidt,H,Frau,
"Schmidt, Henriette",Schmidt Henriette,Schmidt,Henriette,,
"Schmidt, Frl. Ida",Schmidt Ida,Schmidt,Ida,Frl.,
"Schmidt-Idar, Frau Minna",Schmidt-Idar Minna,Schmidt-Idar,Minna,Frau,
"Schmidt, Marie, Augsburg",Schmidt Augsburg,Schmidt,Augsburg,,
"Schmidt, Frl. Marie",Schmidt Marie,Schmidt,Marie,Frl.,
"Schmidt, Marie Susanne",Schmidt Susanne Marie,Schmidt,Susanne Marie,,
"Schmidt, Marie Wilhelmine",Schmidt Wilhelmine Marie,Schmidt,Wilhelmine Marie,,
"Schmidt-Mellin, J",Schmidt-Mellin J,Schmidt-Mellin,J,,
"Schmidt, Theodor",Schmidt Theodor,Schmidt,Theodor,,
"Schmidt, Wilhelmine",Schmidt Wilhelmine,Schmidt,Wilhelmine,,
"Schmidt, Wilhelmine Auguste",Schmidt Auguste Wilhelmine,Schmidt,Auguste Wilhelmine,,
"Schmieden, Else",Schmieden Else,Schmieden,Else,,
"Schmieder, Amalie",Schmieder Amalie,Schmieder,Amalie,,
"Schmieder, Ottilie",Schmieder Ottilie,Schmieder,Ottilie,,
"Schmiesing-Kerssenbrock, Julie Agnese Emilie",Schmiesing-Kerssenbrock Emilie Julie Agnese,Schmiesing-Kerssenbrock,Emilie Julie Agnese,,
"Schmigelski, Rosa",Schmigelski Rosa,Schmigelski,Rosa,,
"Schmitt, Gertha",Schmitt Gertha,Schmitt,Gertha,,
"Schmitz, Luise",Schmitz Luise,Schmitz,Luise,,
"Schmitz, Frau Maria",Schmitz Maria,Schmitz,Maria,Frau,
"Schmitz-Auerbach, Lehrerin Therese v",Schmitz-Auerbach Therese,Schmitz-Auerbach,Therese,Lehrerin,v
"Schmitzhausen-Donau, Minna von",Schmitzhausen-Donau Minna,Schmitzhausen-Donau,Minna,,von
"Schmitz-Kemner, Frau Fanny",Schmitz-Kemner Fanny,Schmitz-Kemner,Fanny,Frau,
"Schmölder, J",Schmölder J,Schmölder,J,,
"Schmoll, Claus",Schmoll Claus,Schmoll,Claus,,
"Schmutz, Christine",Schmutz Christine,Schmutz,Christine,,
"Schnabl, Frau Jenny",Schnabl Jenny,Schnabl,Jenny,Frau,
"Schnackenburg, Frau Clara",Schnackenburg Clara,Schnackenburg,Clara,Frau,
"Schnackenburg, Frl. Jenny",Schnackenburg Jenny,Schnackenburg,Jenny,Frl.,
"Schneer, Elisa",Schneer Elisa,Schneer,Elisa,,
"Schneider, José Arno, Baronin",Schneider Baronin,Schneider,Baronin,,
"Schneider, Bertha",Schneider Bertha,Schneider,Bertha,,
"Schneider, Clara",Schneider Clara,Schneider,Clara,,
"Schneider, Frau Hedwig",Schneider Hedwig,Schneider,Hedwig,Frau,
"Schneider, Frl. Ida Mathilde",Schneider Ida Mathilde,Schneider,Ida Mathilde,Frl.,
"Schneider, Johanna",Schneider Johanna,Schneider,Johanna,,
"Schneider, Frau Lina",Schneider Lina,Schneider,Lina,Frau,
"Schneider, Frl. Luise",Schneider Luise,Schneider,Luise,Frl.,
"Schneider, Pauline",Schneider Pauline,Schneider,Pauline,,
"Schneider, Regina",Schneider Regina,Schneider,Regina,,
"Schneider-Schlöth, Amalie",Schneider-Schlöth Amalie,Schneider-Schlöth,Amalie,,
"Schneider, Frl. Selma",Schneider Selma,Schneider,Selma,Frl.,
"Schneider, Frl. Thekla",Schneider Thekla,Schneider,Thekla,Frl.,
"Schneidt, Frl. Laura",Schneidt Laura,Schneidt,Laura,Frl.,
"Schniewind, Helene",Schniewind Helene,Schniewind,Helene,,
Schnittmusterbuch,Schnittmusterbuch,Schnittmusterbuch,,,
"Schnitzer, Frau Johanna Helene",Schnitzer Johanna Helene,Schnitzer,Johanna Helene,Frau,
"Schnurcks, Scholastika",Schnurcks Scholastika,Schnurcks,Scholastika,,
"Schober, Frau Prediger Anna",Schober Prediger Anna,Schober,Prediger Anna,Frau,
"Schober, Hofkleidermacherin, Anna",Schober Anna,Schober,Anna,,
"Schober, Th. von",Schober Th.,Schober,Th.,,von
