Original,Name,Vorname,Titel,Sonstiges,Name Vorname
"Hellemeyer, Maria",Hellemeyer,Maria,,,Hellemeyer Maria
"Hellen, C. v",Hellen,C.,,v,Hellen C.
"Hellen, C. v",Hellen,C.,,v,Hellen C.
"Heller, Frau Professor",Heller,,Frau Professor,,Heller 
"Heller, Marie",Heller,Marie,,,Heller Marie
"Heller, Frl. Ottilie",Heller,Ottilie,Frl.,,Heller Ottilie
"Hellinghaus, Frl. Ida",Hellinghaus,Ida,Frl.,,Hellinghaus Ida
"Hellmuth, Isabella",Hellmuth,Isabella,,,Hellmuth Isabella
"Hellmuth, Martha",Hellmuth,Martha,,,Hellmuth Martha
"Hellmuth, Frau Mathilde",Hellmuth,Mathilde,Frau,,Hellmuth Mathilde
"Helm, Clementine",Helm,Clementine,,,Helm Clementine
"Helm, Clementine",Helm,Clementine,,,Helm Clementine
"Helm, Feodor",Helm,Feodor,,,Helm Feodor
"Helm, Jeanette",Helm,Jeanette,,,Helm Jeanette
"Helmar, Anna",Helmar,Anna,,,Helmar Anna
"Helmar, W",Helmar,W,,,Helmar W
"Helmers, Edith",Helmers,Edith,,,Helmers Edith
"Helms, Anna",Helms,Anna,,,Helms Anna
"Helms, Anna",Helms,Anna,,,Helms Anna
"Helmstedt, Eleonore",Helmstedt,Eleonore,,,Helmstedt Eleonore
"Helmuth, Mathilde v",Helmuth,Mathilde,,v,Helmuth Mathilde
Helvetia,Helvetia,,,,Helvetia 
"Helwig, Amalie v",Helwig,Amalie,,v,Helwig Amalie
"Hempel, Frl. Thekla",Hempel,Thekla,Frl.,,Hempel Thekla
"Hendrich-Merta, Marie",Hendrich-Merta,Marie,,,Hendrich-Merta Marie
"Henke, Ida",Henke,Ida,,,Henke Ida
"Henke, Margarete",Henke,Margarete,,,Henke Margarete
"Henkel, Friederike",Henkel,Friederike,,,Henkel Friederike
"Henle, Elise",Henle,Elise,,,Henle Elise
"Henle, Elise",Henle,Elise,,,Henle Elise
"Hennes (Claussnitzer-), Maria",Hennes (Claussnitzer-),Maria,,,Hennes (Claussnitzer-) Maria
"Hennig, Frau Eugenie",Hennig,Eugenie,Frau,,Hennig Eugenie
"Hennig, Frau Sophie",Hennig,Sophie,Frau,,Hennig Sophie
"Henniger-Schweitzer, Katharina",Henniger-Schweitzer,Katharina,,,Henniger-Schweitzer Katharina
"Hennigs, Herm",Hennigs,Herm,,,Hennigs Herm
"Hennings, Emma",Hennings,Emma,,,Hennings Emma
"Henoch-d'Albert, Pauline",Henoch-d'Albert,Pauline,,,Henoch-d'Albert Pauline
"Henop, Hedwig",Henop,Hedwig,,,Henop Hedwig
"Henrich, Albertine",Henrich,Albertine,,,Henrich Albertine
"Henrich-Wilhelmi, Frau Hedwig",Henrich-Wilhelmi,Hedwig,Frau,,Henrich-Wilhelmi Hedwig
"Henrici, Sophie",Henrici,Sophie,,,Henrici Sophie
"Henrion, Hermine",Henrion,Hermine,,,Henrion Hermine
"Henschel, Frau Anna Doris Sophie",Henschel,Anna Doris Sophie,Frau,,Henschel Anna Doris Sophie
"Henschke, Frau Ulrike",Henschke,Ulrike,Frau,,Henschke Ulrike
"Hense, Frl. Hedwig",Hense,Hedwig,Frl.,,Hense Hedwig
"Hensel, Ernestine",Hensel,Ernestine,,,Hensel Ernestine
"Hensel, Fanny u. Cecilie Hensel",Hensel,Hensel u. Fanny Cecilie,,,Hensel Hensel u. Fanny Cecilie
"Hensel, Luise M",Hensel,M Luise,,,Hensel M Luise
"Hensel, Wilhelmine",Hensel,Wilhelmine,,,Hensel Wilhelmine
"Hensolt, Auguste",Hensolt,Auguste,,,Hensolt Auguste
"Hentschel, Alma",Hentschel,Alma,,,Hentschel Alma
"Hentz, Caroline Lee",Hentz,Lee Caroline,,,Hentz Lee Caroline
"Henze, Eleonore",Henze,Eleonore,,,Henze Eleonore
"Herb, Josephine",Herb,Josephine,,,Herb Josephine
"Herber, Frl. Pauline",Herber,Pauline,Frl.,,Herber Pauline
"Herberg, Lucie",Herberg,Lucie,,,Herberg Lucie
"Herbert, G. v",Herbert,G.,,v,Herbert G.
"Herbert, Frau Joh",Herbert,Joh,Frau,,Herbert Joh
"Herbert, M",Herbert,M,,,Herbert M
Herbius,Herbius,,,,Herbius 
"Herbst, Frl. Anna",Herbst,Anna,Frl.,,Herbst Anna
"Herbst, Jenny",Herbst,Jenny,,,Herbst Jenny
"Herbst, Paula",Herbst,Paula,,,Herbst Paula
"Herder, Maria Caroline v",Herder,Caroline Maria,,v,Herder Caroline Maria
"Herder, Natalie v",Herder,Natalie,,v,Herder Natalie
"Herding, Johanna",Herding,Johanna,,,Herding Johanna
"Herf-Wachter, Frau Antonie",Herf-Wachter,Antonie,Frau,,Herf-Wachter Antonie
"Herff-Schacht, Frau Rosa v",Herff-Schacht,Rosa,Frau,v,Herff-Schacht Rosa
"Herge, Ferdinande",Herge,Ferdinande,,,Herge Ferdinande
"Herget, Johanna",Herget,Johanna,,,Herget Johanna
"Hering, Elisa",Hering,Elisa,,,Hering Elisa
"Hering, Johanna",Hering,Johanna,,,Hering Johanna
"Hering, Margarete Friederike",Hering,Margarete Friederike,,,Hering Margarete Friederike
"Herling, Frau Clara",Herling,Clara,Frau,,Herling Clara
"Hermann, H(ans",Hermann,H(ans,,,Hermann H(ans
"Hermann, Rosa",Hermann,Rosa,,,Hermann Rosa
"Hermann, Sophie",Hermann,Sophie,,,Hermann Sophie
"Hermann, Wilhelmine v",Hermann,Wilhelmine,,v,Hermann Wilhelmine
"Hermanny, A",Hermanny,A,,,Hermanny A
"Hermes, Anna",Hermes,Anna,,,Hermes Anna
"Hermstein, Frl. Gertrud",Hermstein,Gertrud,Frl.,,Hermstein Gertrud
"Herold, Frau Hedwig",Herold,Hedwig,Frau,,Herold Hedwig
"Herrigau, Wilibert von",Herrigau,Wilibert,,von,Herrigau Wilibert
"Herrkorn, Pauline",Herrkorn,Pauline,,,Herrkorn Pauline
"Herrlinger-Ludwig, Frau Lina",Herrlinger-Ludwig,Lina,Frau,,Herrlinger-Ludwig Lina
"Herrmann, Christine",Herrmann,Christine,,,Herrmann Christine
"Herrmannsdorfer, Frl. Caroline",Herrmannsdorfer,Caroline,Frl.,,Herrmannsdorfer Caroline
"Hertel, Louise",Hertel,Louise,,,Hertel Louise
"Herting, Marie",Herting,Marie,,,Herting Marie
"Hertlein, Luise",Hertlein,Luise,,,Hertlein Luise
"Hertramph, Frl. Ottilie",Hertramph,Ottilie,Frl.,,Hertramph Ottilie
"Hertwig-Behringer, Martha",Hertwig-Behringer,Martha,,,Hertwig-Behringer Martha
"Hertz, Frl. Henriette",Hertz,Henriette,Frl.,,Hertz Henriette
"Hertz, Rebecca",Hertz,Rebecca,,,Hertz Rebecca
"Hertzka, Friederike",Hertzka,Friederike,,,Hertzka Friederike
"Hertzsch, Marie",Hertzsch,Marie,,,Hertzsch Marie
"Herwartz, Frl. Josephine",Herwartz,Josephine,Frl.,,Herwartz Josephine
"Herwegh, Emma",Herwegh,Emma,,,Herwegh Emma
"Herwi, B",Herwi,B,,,Herwi B
"Herz, Auguste",Herz,Auguste,,,Herz Auguste
"Herz, Frau Henriette",Herz,Henriette,Frau,,Herz Henriette
Herzen,Herzen,,,,Herzen 
Herzenswünsche,Herzenswünsche,,,,Herzenswünsche 
"Herzfeld, Frl. Marie",Herzfeld,Marie,Frl.,,Herzfeld Marie
"Herzog, Adelaide",Herzog,Adelaide,,,Herzog Adelaide
"Herzog, L",Herzog,L,,,Herzog L
"Herzog, Sidonie",Herzog,Sidonie,,,Herzog Sidonie
"Hesekiel, Ludovica",Hesekiel,Ludovica,,,Hesekiel Ludovica
"Hesekiel, Ludovica",Hesekiel,Ludovica,,,Hesekiel Ludovica
"Hesse, Alice",Hesse,Alice,,,Hesse Alice
"Hesse, Katharina von",Hesse,Katharina,,von,Hesse Katharina
"Hessen-Darmstadt, Anna Sophie, Landgräfin von",Hessen-Darmstadt,Anna Sophie,Landgräfin,von,Hessen-Darmstadt Anna Sophie
"Hessen-Darmstadt, Augusta Magdalena, Landgräfin von",Hessen-Darmstadt,Augusta Magdalena,Landgräfin,von,Hessen-Darmstadt Augusta Magdalena
"Hessling, Frau Klara",Hessling,Klara,Frau,,Hessling Klara
"Hetzel-Hetzel, Elise",Hetzel-Hetzel,Elise,,,Hetzel-Hetzel Elise
"Heuckendorff, Frau Helene",Heuckendorff,Helene,Frau,,Heuckendorff Helene
"Heuer, Frida",Heuer,Frida,,,Heuer Frida
"Heumann, Frl. Sarah",Heumann,Sarah,Frl.,,Heumann Sarah
"Heuser, Emilie",Heuser,Emilie,,,Heuser Emilie
"Heuser, Frau Direktor Olga",Heuser,Olga,Frau Direktor,,Heuser Olga
"Heusser-Schweizer, Anna Barbara Margarete",Heusser-Schweizer,Margarete Anna Barbara,,,Heusser-Schweizer Margarete Anna Barbara
"Hey, Frau Dr. Bertha",Hey,Bertha,Dr. Frau,,Hey Bertha
"Heydemann, E",Heydemann,E,,,Heydemann E
"Heyden, Bertha",Heyden,Bertha,,,Heyden Bertha
"Heydt, Wilhelmine",Heydt,Wilhelmine,,,Heydt Wilhelmine
"Heyl, A",Heyl,A,,,Heyl A
"Heyl, Hedwig",Heyl,Hedwig,,,Heyl Hedwig
"Heymann, Anne Katharine Friederike",Heymann,Friederike Katharine Anne,,,Heymann Friederike Katharine Anne
"Heyn, H",Heyn,H,,,Heyn H
"Heynrichs, J. N",Heynrichs,N J.,,,Heynrichs N J.
"Héyret, Frl. Marie",Héyret,Marie,Frl.,,Héyret Marie
"Hezel, Charlotte Henriette",Hezel,Charlotte Henriette,,,Hezel Charlotte Henriette
"Hibeau, Frau Adriana",Hibeau,Adriana,Frau,,Hibeau Adriana
"Hild, Therese",Hild,Therese,,,Hild Therese
"Hildebrandt-Eggert, Gertrude",Hildebrandt-Eggert,Gertrude,,,Hildebrandt-Eggert Gertrude
"Hildebrandt, Frau Martha",Hildebrandt,Martha,Frau,,Hildebrandt Martha
"Hildebrandt, Wilhelmine",Hildebrandt,Wilhelmine,,,Hildebrandt Wilhelmine
"Hildeck, Leo",Hildeck,Leo,,,Hildeck Leo
"Hilden, A",Hilden,A,,,Hilden A
"Hilkmann, Barbara und Ignatz Gartler",Hilkmann,und Ignatz Barbara Gartler,,,Hilkmann und Ignatz Barbara Gartler
"Hill, Frau Anna",Hill,Anna,Frau,,Hill Anna
"Hill, Oktavia",Hill,Oktavia,,,Hill Oktavia
"Hillardt, Gabriele",Hillardt,Gabriele,,,Hillardt Gabriele
"Hillardt, Gabriele",Hillardt,Gabriele,,,Hillardt Gabriele
"Hillebrand, Frau Clara",Hillebrand,Clara,Frau,,Hillebrand Clara
"Hiller, Olga",Hiller,Olga,,,Hiller Olga
"Hillern, Hermine v",Hillern,Hermine,,v,Hillern Hermine
"Hillern, Wilhelmine v",Hillern,Wilhelmine,,v,Hillern Wilhelmine
"Hilliger, L",Hilliger,L,,,Hilliger L
"Hilscher, Luise",Hilscher,Luise,,,Hilscher Luise
"Hilscher, Minna",Hilscher,Minna,,,Hilscher Minna
"Hilscher, Frau P",Hilscher,P,Frau,,Hilscher P
"Hilpert, Christine",Hilpert,Christine,,,Hilpert Christine
"Hinck, Marie",Hinck,Marie,,,Hinck Marie
"Hinckeldeyn, Anna",Hinckeldeyn,Anna,,,Hinckeldeyn Anna
"Hinderer, Anna",Hinderer,Anna,,,Hinderer Anna
"Hindermann, Frl. Adèle",Hindermann,Adèle,Frl.,,Hindermann Adèle
"Hindorf, Clara",Hindorf,Clara,,,Hindorf Clara
"Hingst, Frl. Adolphine",Hingst,Adolphine,Frl.,,Hingst Adolphine
"Hinnius, Frau Oberstlieutenant Anna",Hinnius,Anna,Frau Oberstlieutenant,,Hinnius Anna
"Hinterberger, Maria Anna",Hinterberger,Anna Maria,,,Hinterberger Anna Maria
"Hirsch, Jenny",Hirsch,Jenny,,,Hirsch Jenny
"Hirsch, Frl. Marie",Hirsch,Marie,Frl.,,Hirsch Marie
"Hirschberg, Frau Korvettenkapitän",Hirschberg,,Frau Korvettenkapitän,,Hirschberg 
"Hirschfeld, Frau Dr. Henriette",Hirschfeld,Henriette,Dr. Frau,,Hirschfeld Henriette
"Hirschler, Anna",Hirschler,Anna,,,Hirschler Anna
"Hirschmann, Frau Julie",Hirschmann,Julie,Frau,,Hirschmann Julie
"Hirundo, C",Hirundo,C,,,Hirundo C
"Hitz, Frl. Luise",Hitz,Luise,Frl.,,Hitz Luise
"Hobe, Charlotte von",Hobe,Charlotte,,von,Hobe Charlotte
"Hobe, Frau Marie von",Hobe,Marie,Frau,von,Hobe Marie
"Hobe, Frl. Therese Luise Auguste von",Hobe,Auguste Luise Therese,Frl.,von,Hobe Auguste Luise Therese
"Höbing, M",Höbing,M,,,Höbing M
"Hobirk, Elisabeth",Hobirk,Elisabeth,,,Hobirk Elisabeth
"Hobirk, Elisabeth",Hobirk,Elisabeth,,,Hobirk Elisabeth
"Hoch, Marie Konstanze",Hoch,Marie Konstanze,,,Hoch Marie Konstanze
"Hochberg, M. V",Hochberg,M. V,,,Hochberg M. V
"Hochfelden, Frau Brigitta",Hochfelden,Brigitta,Frau,,Hochfelden Brigitta
"Hochheim, Frau Dr. Adelheid",Hochheim,Adelheid,Dr. Frau,,Hochheim Adelheid
"Hochwald, Adele",Hochwald,Adele,,,Hochwald Adele
"Hochweber, Elise",Hochweber,Elise,,,Hochweber Elise
"Hodler, Emma",Hodler,Emma,,,Hodler Emma
"Hoechstetter, Sophie",Hoechstetter,Sophie,,,Hoechstetter Sophie
"Hoepfner, Hedwig",Hoepfner,Hedwig,,,Hoepfner Hedwig
"Hoesch, Lucy",Hoesch,Lucy,,,Hoesch Lucy
"Hoernes, Frau Jenny",Hoernes,Jenny,Frau,,Hoernes Jenny
"Höfer, Friederike",Höfer,Friederike,,,Höfer Friederike
"Hofer, Liana",Hofer,Liana,,,Hofer Liana
"Hoff, Emilie v",Hoff,Emilie,,v,Hoff Emilie
"Hoff, Sophie",Hoff,Sophie,,,Hoff Sophie
"Hoffelize, Adele Gräfin v",Hoffelize,Adele,Gräfin,v,Hoffelize Adele
"Hoffinger, Josefa Edle von",Hoffinger,Josefa,Edle,von,Hoffinger Josefa
"Hoffmann, Frl. Agnes",Hoffmann,Agnes,Frl.,,Hoffmann Agnes
"Hoffmann, Anna",Hoffmann,Anna,,,Hoffmann Anna
"Hoffmann, Bertha Wilhelmine",Hoffmann,Wilhelmine Bertha,,,Hoffmann Wilhelmine Bertha
"Hoffmann-Diederich, Frau Dr. Anna",Hoffmann-Diederich,Anna,Dr. Frau,,Hoffmann-Diederich Anna
"Hoffmann, Franziska",Hoffmann,Franziska,,,Hoffmann Franziska
"Hoffmann, Julie",Hoffmann,Julie,,,Hoffmann Julie
"Hoffmann, Vorsteherin, Lehrerin Louise",Hoffmann,Lehrerin Louise,,,Hoffmann Lehrerin Louise
"Hoffmann, Frl. Maria",Hoffmann,Maria,Frl.,,Hoffmann Maria
"Hoffmann, Maria",Hoffmann,Maria,,,Hoffmann Maria
"Hoffmann, Minna",Hoffmann,Minna,,,Hoffmann Minna
"Hoffmann-Nesselbach, L",Hoffmann-Nesselbach,L,,,Hoffmann-Nesselbach L
"Hoffmann, Nina",Hoffmann,Nina,,,Hoffmann Nina
"Hoffmann, Norbert",Hoffmann,Norbert,,,Hoffmann Norbert
"Hoffmann, Ottilie",Hoffmann,Ottilie,,,Hoffmann Ottilie
"Hoffmann-Rühle, Flora",Hoffmann-Rühle,Flora,,,Hoffmann-Rühle Flora
"Hoffmann v. Wangenheim, Frau Pauline",Hoffmann v. Wangenheim,Pauline,Frau,,Hoffmann v. Wangenheim Pauline
"Hoffmann, Wilhelmine",Hoffmann,Wilhelmine,,,Hoffmann Wilhelmine
"Hoffnaass, Franziska v",Hoffnaass,Franziska,,v,Hoffnaass Franziska
"Höflich, Nannette",Höflich,Nannette,,,Höflich Nannette
"Hofmann, Dorothea",Hofmann,Dorothea,,,Hofmann Dorothea
"Hofmann, Frl. Else",Hofmann,Else,Frl.,,Hofmann Else
"Hofmann, Frau Ida",Hofmann,Ida,Frau,,Hofmann Ida
"Hofmann, Marie",Hofmann,Marie,,,Hofmann Marie
"Hofmann, R",Hofmann,R,,,Hofmann R
"Hofmann, Wilhelmine",Hofmann,Wilhelmine,,,Hofmann Wilhelmine
"Hohenadel, Therese",Hohenadel,Therese,,,Hohenadel Therese
"Hohenhausen, Elise Felicitas, Freiin von",Hohenhausen,Elise Felicitas,Freiin,von,Hohenhausen Elise Felicitas
"Hohenhausen, Elise Freiin v",Hohenhausen,Elise,Freiin,v,Hohenhausen Elise
"Hohenhausen, Elise Philippine Amalie, Freifrau v",Hohenhausen,Elise Philippine Amalie,Freifrau,von,Hohenhausen Elise Philippine Amalie
"Hohenhausen, Henriette Friederike Amalie, Freiin v",Hohenhausen,Henriette Friederike Amalie,Freiin,v,Hohenhausen Henriette Friederike Amalie
"Hohenheim, Klara v",Hohenheim,Klara,,v,Hohenheim Klara
"Hohenlohe-Kirchberg, Albertine Renate, Fürstin v",Hohenlohe-Kirchberg,Albertine Renate,Fürstin,,Hohenlohe-Kirchberg Albertine Renate
"Hohenlohe-Kirchberg, Christ. Louise, Fürstin v",Hohenlohe-Kirchberg,Christ. Louise,Fürstin,v,Hohenlohe-Kirchberg Christ. Louise
"Hohenried, L. St",Hohenried,L. St,,,Hohenried L. St
"Hohensee, R",Hohensee,R,,,Hohensee R
"Hohenstädt, S",Hohenstädt,S,,,Hohenstädt S
"Hohenstein, Angelica",Hohenstein,Angelica,,,Hohenstein Angelica
"Hohenstein, Cäcilie v",Hohenstein,Cäcilie,,v,Hohenstein Cäcilie
"Hohenthal, Gräfin Ida",Hohenthal,Ida,Gräfin,,Hohenthal Ida
"Hohenwald, H. v",Hohenwald,H.,,v,Hohenwald H.
"Hohn, Clara v",Hohn,Clara,,v,Hohn Clara
"Hohndorf, Luise",Hohndorf,Luise,,,Hohndorf Luise
"Hohnhorst, Baronin H. v",Hohnhorst,H.,Baronin,v,Hohnhorst H.
"Hohoff, Frl. Maria",Hohoff,Maria,Frl.,,Hohoff Maria
"Hohrath, Clara",Hohrath,Clara,,,Hohrath Clara
"Hohrath, Ottilie",Hohrath,Ottilie,,,Hohrath Ottilie
"Hoiningen-Huene, Freifrau Christine v",Hoiningen-Huene,Christine,Freifrau,v,Hoiningen-Huene Christine
"Holbert, P",Holbert,P,,,Holbert P
"Holger, Francis",Holger,Francis,,,Holger Francis
"Holle, Luise",Holle,Luise,,,Holle Luise
"Holm, A",Holm,A,,,Holm A
"Holm, Erich",Holm,Erich,,,Holm Erich
"Holm, Frau Mia",Holm,Mia,Frau,,Holm Mia
"Holmblad, Alexandrine v",Holmblad,Alexandrine,,v,Holmblad Alexandrine
"Holnstein, Gräfin C",Holnstein,C,Gräfin,,Holnstein C
"Holnstein aus Bayern, Gräfin Ida von",Holnstein aus Bayern,Ida,Gräfin,von,Holnstein aus Bayern Ida
"Holst, Amalie",Holst,Amalie,,,Holst Amalie
"Holten, M. v",Holten,M.,,v,Holten M.
"Hölterhoff, Elise",Hölterhoff,Elise,,,Hölterhoff Elise
"Holthausen, Jeanette",Holthausen,Jeanette,,,Holthausen Jeanette
"Holthausen, Marie",Holthausen,Marie,,,Holthausen Marie
"Holtz, Johanna",Holtz,Johanna,,,Holtz Johanna
"Holzer, Fanny",Holzer,Fanny,,,Holzer Fanny
"Holzinger, v. Weidich, Emerike",Holzinger,Emerike,,v.,Holzinger Emerike
"Holzknecht, Pauline",Holzknecht,Pauline,,,Holzknecht Pauline
"Holzmann-Forrer, Frau Clara",Holzmann-Forrer,Clara,Frau,,Holzmann-Forrer Clara
"Holzmärker-Gerbode, Josephine",Holzmärker-Gerbode,Josephine,,,Holzmärker-Gerbode Josephine
"Homberg, Tinette",Homberg,Tinette,,,Homberg Tinette
"Hompesch, Jeanette, Gräfin v",Hompesch,Gräfin v,,,Hompesch Gräfin v
"Hommer, Sophie Charlotte",Hommer,Charlotte Sophie,,,Hommer Charlotte Sophie
"Honau, Elise von",Honau,Elise,,von,Honau Elise
"Honegger, Frau Elise Dr. phil",Honegger,phil Elise,Dr. Frau,,Honegger phil Elise
"Hoof, Minna",Hoof,Minna,,,Hoof Minna
"Hopfengärtner, Dorothée v",Hopfengärtner,Dorothée,,v,Hopfengärtner Dorothée
"Hopffgarten-Mülverstedt, Frl. Elinor von",Hopffgarten-Mülverstedt,Elinor,Frl.,von,Hopffgarten-Mülverstedt Elinor
"Hopkins, Elice",Hopkins,Elice,,,Hopkins Elice
"Hoppe, Leopoldine",Hoppe,Leopoldine,,,Hoppe Leopoldine
"Hoppe, Marie",Hoppe,Marie,,,Hoppe Marie
"Hoppe-Seyler, Amanda",Hoppe-Seyler,Amanda,,,Hoppe-Seyler Amanda
"Horenburgerin, Anna Elisabeth Guldenapfel",Horenburgerin,Elisabeth Anna Guldenapfel,,,Horenburgerin Elisabeth Anna Guldenapfel
"Horix, Therese v",Horix,Therese,,v,Horix Therese
"Hörmann, Angelica v",Hörmann,Angelica,,v,Hörmann Angelica
"Horn, Frau Anna",Horn,Anna,Frau,,Horn Anna
"Horn, Clementine",Horn,Clementine,,,Horn Clementine
"Horn, Frau Flora",Horn,Flora,Frau,,Horn Flora
"Horn, Frau Helene",Horn,Helene,Frau,,Horn Helene
"Hörschelmann, Emilie v",Hörschelmann,Emilie,,v,Hörschelmann Emilie
"Horst, Auguste",Horst,Auguste,,,Horst Auguste
"Horst, Clotilde von der",Horst,Clotilde der,,von,Horst Clotilde der
"Horst, Moritz",Horst,Moritz,,,Horst Moritz
"Horst, Sophie von der",Horst,der Sophie,,von,Horst der Sophie
"Horsten, E",Horsten,E,,,Horsten E
"Horstig, Susette",Horstig,Susette,,,Horstig Susette
"Horstmann, K",Horstmann,K,,,Horstmann K
Hortense,Hortense,,,,Hortense 
"Horvat-Petheö, Marie",Horvat-Petheö,Marie,,,Horvat-Petheö Marie
"Hottner-Grefe, Anna",Hottner-Grefe,Anna,,,Hottner-Grefe Anna
"Houwald-Thielau, Marie v",Houwald-Thielau,Marie,,v,Houwald-Thielau Marie
"Hoyer, Anna",Hoyer,Anna,,,Hoyer Anna
"Hoyer, Auguste, Frau Gerichtsrat",Hoyer,Auguste,Frau Gerichtsrat,,Hoyer Auguste
"Hoyer, Elise",Hoyer,Elise,,,Hoyer Elise
"Hoyer, Renata",Hoyer,Renata,,,Hoyer Renata
"Hruschka, Frl. Ella",Hruschka,Ella,Frl.,,Hruschka Ella
"Hrussoczy, Frl. M. v",Hrussoczy,M.,Frl.,v,Hrussoczy M.
"Huber, Anna",Huber,Anna,,,Huber Anna
"Huber, Florence",Huber,Florence,,,Huber Florence
"Huber, Marie, Frau Dr",Huber,Marie,Frau Dr,,Huber Marie
"Huber, Marie Therese",Huber,Marie Therese,,,Huber Marie Therese
"Hubert, R",Hubert,R,,,Hubert R
"Hübener, Helene",Hübener,Helene,,,Hübener Helene
"Hübner, Henriette Emilie",Hübner,Emilie Henriette,,,Hübner Emilie Henriette
"Hübner, Marie",Hübner,Marie,,,Hübner Marie
"Huch, Frau Emilie",Huch,Emilie,Frau,,Huch Emilie
"Huch, Emilie",Huch,Emilie,,,Huch Emilie
"Huch, Frl. Ricarda Octavia",Huch,Ricarda Octavia,Frl.,,Huch Ricarda Octavia
"Hügel, Marie Freifrau v",Hügel,Marie,Freifrau,v,Hügel Marie
"Hugo, Richard",Hugo,Richard,,,Hugo Richard
"Huhns, Frl. Paulinchen",Huhns,Paulinchen,Frl.,,Huhns Paulinchen
"Hülle, Frau Hedwig",Hülle,Hedwig,Frau,,Hülle Hedwig
"Hüllessem, Freifrau Katharina v",Hüllessem,Katharina,Freifrau,v,Hüllessem Katharina
"Hüllessem, Pauline v",Hüllessem,Pauline,,v,Hüllessem Pauline
"Hülsen, Gräfin Helene v",Hülsen,Helene,Gräfin,v,Hülsen Helene
"Hülsen, Helene v",Hülsen,Helene,,v,Hülsen Helene
"Hülsen, Henr. v",Hülsen,Henr.,,v,Hülsen Henr.
"Hülsen, Therese Henriette v",Hülsen,Therese Henriette,,v,Hülsen Therese Henriette
"Humbert, Frl. Amélie",Humbert,Amélie,Frl.,,Humbert Amélie
"Humbert, Therese",Humbert,Therese,,,Humbert Therese
"Humbracht, Luise Ernestine Malwina von",Humbracht,Malwina Ernestine Luise,,von,Humbracht Malwina Ernestine Luise
"Hummel, Frl. Frida",Hummel,Frida,Frl.,,Hummel Frida
"Hummel, Frl. Isabella",Hummel,Isabella,Frl.,,Hummel Isabella
"Hummel, Sophie",Hummel,Sophie,,,Hummel Sophie
"Hünerbein, Frau Charlotte v",Hünerbein,Charlotte,Frau,v,Hünerbein Charlotte
"Hünerkoch, Adelheid",Hünerkoch,Adelheid,,,Hünerkoch Adelheid
"Hunnius, Luise",Hunnius,Luise,,,Hunnius Luise
"Hüpeden, Frau Jenny",Hüpeden,Jenny,Frau,,Hüpeden Jenny
"Husch, P. von",Husch,P.,,von,Husch P.
"Hutberg, Marie und R. Koch",Hutberg,Koch R. Marie und,,,Hutberg Koch R. Marie und
"Hutten, Ella von",Hutten,Ella,,von,Hutten Ella
"Huttenlocher, Henriette",Huttenlocher,Henriette,,,Huttenlocher Henriette
"Hutze, Anna",Hutze,Anna,,,Hutze Anna
"Hutzler, Sara",Hutzler,Sara,,,Hutzler Sara
"Hutzler, Sara",Hutzler,Sara,,,Hutzler Sara
"Huyn, Frl. Luise",Huyn,Luise,Frl.,,Huyn Luise
Hyperion,Hyperion,,,,Hyperion 
"Hyrtl, Auguste",Hyrtl,Auguste,,,Hyrtl Auguste
Ibo,Ibo,,,,Ibo 
Icãra,Icãra,,,,Icãra 
"Ichenhaeuser, Frau Eliza",Ichenhaeuser,Eliza,Frau,,Ichenhaeuser Eliza
"Ideler, Frl. Lucie",Ideler,Lucie,Frl.,,Ideler Lucie
"Ideler, Lucie",Ideler,Lucie,,,Ideler Lucie
Idem,Idem,,,,Idem 
"Igel, Frau Elisabeth von",Igel,Elisabeth,Frau,von,Igel Elisabeth
"Ihering, Marie",Ihering,Marie,,,Ihering Marie
"Ihle, Annette",Ihle,Annette,,,Ihle Annette
"Ihlenfeld, Jutta",Ihlenfeld,Jutta,,,Ihlenfeld Jutta
"Ihrer, Emma",Ihrer,Emma,,,Ihrer Emma
"Ilgner, Elisabeth",Ilgner,Elisabeth,,,Ilgner Elisabeth
"Ille, Frau Prof. Marie",Ille,Marie,Prof. Frau,,Ille Marie
"Ilmenhorst, Clarissa",Ilmenhorst,Clarissa,,,Ilmenhorst Clarissa
"Ilznük, Henriette",Ilznük,Henriette,,,Ilznük Henriette
"Imhoff, Amalie v",Imhoff,Amalie,,v,Imhoff Amalie
"Immisch, Frau Maria",Immisch,Maria,Frau,,Immisch Maria
"Imre, Arpad",Imre,Arpad,,,Imre Arpad
"Ina, Baronesse",,Ina,Baronesse,, Ina
"Inger, M",Inger,M,,,Inger M
"Ingermann-Amitin, Anna",Ingermann-Amitin,Anna,,,Ingermann-Amitin Anna
"Ingersleben, Emilie von",Ingersleben,Emilie,,von,Ingersleben Emilie
"Iram, Johanna",Iram,Johanna,,,Iram Johanna
Irene,Irene,,,,Irene 
"Istri, Dora d",Istri,Dora d,,,Istri Dora d
"Ittenbach, Frl. Kunig",Ittenbach,Kunig,Frl.,,Ittenbach Kunig
"Itzerott, Frl. Elisabeth",Itzerott,Elisabeth,Frl.,,Itzerott Elisabeth
"Itzerott, Marie",Itzerott,Marie,,,Itzerott Marie
"Iwersen, Adelaide Marie",Iwersen,Marie Adelaide,,,Iwersen Marie Adelaide
"Jablonsky, Frau Thildis",Jablonsky,Thildis,Frau,,Jablonsky Thildis
